Respondent;Y;EAR_N;MAR_N;Circularity_N;MOE_N
1;0;-29.538.894.084.951.800;-11.509.134.750.920.700;-1.925.392.232.836.260;4.227.757.887.220.760
1;0;-24.029.048.556.152.500;0.008991511524152854;-29.370.389.992.417.600;4.480.370.806.623.170
1;0;-18.060.049.233.286.600;10.340.238.252.780.300;-16.969.558.662.285.700;4.532.998.498.165.330
1;0;-23.569.894.762.085.900;0.4405840646836845;-2.773.870.165.950.550;501.717.326.035.327
1;0;-6.351.627.484.588.090;11.958.710.327.128.500;-5.613.007.865.217.590;1.942.663.520.459.860
1;0;-4.974.166.102.388.260;0.008991511524152854;-36.223.480.990.648.400;11.669.313.471.283.200
1;0;-13.468.511.292.620.500;0.46755859925615206;-10.442.805.330.637.400;2.922.591.136.975.020
1;0;-30.457.201.673.085.000;0.9261256869881512;-2.447.532.499.368.130;73.538.427.648.255.000
1;0;-5.341.489.137.641.550;0.4945331338286226;-37.528.831.656.978.100;13.784.946.671.278.300
1;0;-50.200.814.817.949.200;0.03596604609662639;-36.549.818.657.230.800;11.858.773.160.835.000
1;0;-2.448.820.235.021.910;0.7373039449808575;-25.454.337.993.428.600;5.659.231.097.167.710
1;0;-13.927.665.086.687.100;-0.04495755762078823;-0.815844166456047;23.436.865.300.111.700
1;0;-30.457.201.673.085.000;0.27873685724885827;-3.263.376.665.824.180;64.170.698.553.749.200
1;0;-2.678.397.132.055.220;0.46755859925615206;-156.642.079.959.561;5.743.435.403.635.180
1;0;-54.333.198.964.548.700;0.7103294104083899;-528.667.019.863.518;14.553.310.967.793.900
1;0;-18.060.049.233.286.600;0.33268592639379935;-1.860.124.699.519.780;36.699.043.568.737.900
1;0;-203.558.182.036.197;10.879.728.944.229.700;-30.675.740.658.747.300;5.196.107.411.596.640
1;0;-5.708.812.172.894.840;0.8721766178432102;-2.773.870.165.950.550;15.879.528.794.656.500
1;0;-4.652.758.446.541.640;0.33268592639379935;-3.034.940.299.216.490;11.058.832.249.394.000
1;0;-13.927.665.086.687.100;0.3057113918213318;-0.8811116997725326;2.775.233.600.656.950
1;0;-5.984.304.449.334.800;-0.017983023048314693;-3.491.813.032.431.870;15.447.981.724.010.800
1;0;-32.752.970.643.418.100;0.2517623226763907;-2.447.532.499.368.130;6.943.346.770.796.590
1;0;-4.285.435.411.288.350;11.419.219.635.679.100;-2.349.631.199.393.410;11.143.036.555.861.500
1;0;-299.980.478.790.185;-0.39562650706290525;-3.198.109.132.507.700;53.855.671.011.484.400
1;0;-22.651.587.173.952.700;-11.509.134.750.920.700;-0.8484779331142889;27.120.803.708.063.500
1;0;-13.927.665.086.687.100;0.11688964981403802;-2.186.462.366.102.200;2.533.146.219.562.980
1;0;-13.927.665.086.687.100;-0.12588116133819985;-10.442.805.330.637.400;22.384.311.469.268.400
1;0;-24.029.048.556.152.500;1.114.947.428.995.440;-14.358.857.329.626.400;6.059.201.552.888.180
1;0;-29.538.894.084.951.800;0.4945331338286226;-156.642.079.959.561;6.511.799.700.150.820
1;0;-7.820.919.625.601.240;-0.2877283687730201;-39.813.195.323.055.000;24.257.857.288.169.600
1;0;-4.285.435.411.288.350;0.4945331338286226;-2.349.631.199.393.410;10.122.059.339.943.400
1;0;-13.927.665.086.687.100;0.3057113918213318;-10.442.805.330.637.400;27.857.591.389.653.800
1;0;-18.060.049.233.286.600;0.03596604609662639;-16.969.558.662.285.700;32.594.083.628.448.800
1;0;-2.678.397.132.055.220;0.413609530111211;-156.642.079.959.561;5.701.333.250.401.440
1;0;-4.928.250.722.981.600;0.8452020832707426;-21.211.948.327.857.200;12.921.852.529.986.700
1;0;-4.698.673.825.948.300;0.6833548758359164;-44.708.260.321.791.300;11.827.196.545.909.700
1;0;-2.678.397.132.055.220;0.5215076684010931;-19.580.259.994.945.100;5.817.114.171.794.210
1;0;-4.331.350.790.695.010;0.3057113918213318;-29.696.727.659.000.000;9.995.752.880.242.290
1;0;-2.678.397.132.055.220;-0.1528556959106674;-1.631.688.332.912.090;4.901.392.338.960.500
1;0;-5.754.727.552.301.500;-0.9081426639398426;-4.568.727.332.153.850;12.942.903.606.603.600
1;0;-203.558.182.036.197;-12.588.116.133.819.600;-0.783210399797805;20.910.736.106.087.800
1;0;-805.049.652.263.455;-0.5574737144977255;-4.633.994.865.470.340;25.142.002.506.078.000
1;0;-359.670.472.018.844;0.6294058066909753;-15.990.545.662.538.500;8.395.871.057.360.410
1;0;-4.009.943.134.848.380;0.19781325353144663;-2.219.096.132.760.440;8.890.571.357.856.780
1;0;-30.457.201.673.085.000;0.9531002215606218;-22.843.636.660.769.200;7.395.944.918.059.230
1;0;-299.980.478.790.185;-0.5574737144977255;-0.6853090998230794;5.080.326.490.203.870
1;0;-2.311.074.096.801.930;0.11688964981403802;-0.9463792330890145;4.459.319.730.006.300
1;0;-27.243.125.114.618.800;20.860.306.736.043.800;-12.727.168.996.714.300;8.059.053.831.490.540
1;0;-30.457.201.673.085.000;28.413.176.416.335.500;-0.9790129997472563;9.985.227.341.933.860
1;0;-2.311.074.096.801.930;0.8991511524156807;-0.815844166456047;5.553.975.714.083.380
1;0;-0.29079740290885614;0.8452020832707426;0.7832103997978033;13.858.625.439.437.300
1;0;-13.927.665.086.687.100;12.228.455.672.853.200;-2.186.462.366.102.200;394.356.835.289.306
1;0;-4.377.266.170.101.670;13.307.437.055.752.000;-37.855.169.323.560.500;11.785.094.392.675.900
1;0;-2.311.074.096.801.930;20.320.816.044.594.400;-2.219.096.132.760.440;7.059.127.692.189.360
1;0;-2.311.074.096.801.930;15.465.399.821.549.700;-20.232.935.328.109.900;6.332.865.548.907.450
1;0;-0.06122050587555134;0.6563803412634458;-0.26107013326593687;0.7859068603630283
1;0;-4.698.673.825.948.300;10.070.492.907.055.600;-2.219.096.132.760.440;12.353.473.461.331.300
1;0;-2.586.566.373.241.890;0.7912530141257985;-12.074.493.663.549.400;6.038.150.476.271.320
1;0;-12.091.049.910.420.700;0.46755859925615206;-0.26107013326593687;2.596.299.449.413.570
1;0;-36.885.354.790.017.600;0.9531002215606218;-4.046.587.065.621.980;9.048.454.432.483.280
1;0;-1.897.835.682.141.980;13.846.927.747.201.500;-11.421.818.330.384.600;5.196.107.411.596.640
1;0;-2.311.074.096.801.930;-0.5574737144977255;-20.232.935.328.109.900;3.627.802.203.640.050
1;0;-16.682.587.851.086.800;13.846.927.747.201.500;-10.442.805.330.637.400;4.680.356.034.483.400
1;0;-8.417.819.557.887.830;18.972.089.315.970.900;-4.601.361.098.812.100;33.520.330.999.591.000
1;0;-39.640.277.554.417.200;17.893.107.933.072.000;-31.328.415.991.912.100;11.143.036.555.861.500
1;0;-18.519.203.027.353.200;17.353.617.241.622.600;0.03263376665824188;5.553.975.714.083.380
1;0;-5.800.642.931.708.160;0.6024312721185048;-38.834.182.323.307.700;15.732.171.258.338.500
1;0;-1.943.751.061.548.640;0.8721766178432102;-1.337.984.432.987.910;4.690.881.572.791.840
1;0;-5.479.235.275.861.530;15.465.399.821.549.700;-31.654.753.658.494.600;1.609.003.956.082.520
1;0;-5.341.489.137.641.550;2.652.495.899.626.260;-3.818.150.699.014.290;17.563.614.924.005.900
1;0;-26.324.817.526.485.600;34.347.574.022.279.000;-10.442.805.330.637.400;9.658.935.654.372.420
1;0;-2.311.074.096.801.930;2.409.725.088.474.030;-20.232.935.328.109.900;7.553.827.992.685.730
1;0;-3.642.620.099.595.100;31.380.375.219.307.300;-26.107.013.326.593.400;12.142.962.695.162.700
1;0;-16.682.587.851.086.800;31.919.865.910.756.700;-1.109.548.066.380.220;6.985.448.924.030.330
1;0;-29.538.894.084.951.800;27.334.195.033.436.700;-1.925.392.232.836.260;9.627.359.039.447.120
1;0;-7.315.850.452.127.970;39.742.480.936.773.100;-39.813.195.323.055.000;30.141.633.202.583.900
1;0;-7.912.750.384.414.560;2.005.107.069.886.970;-47.645.299.321.033.100;30.089.005.511.041.700
1;0;-29.538.894.084.951.800;28.952.667.107.784.900;-1.860.124.699.519.780;9.869.446.420.541.090
1;0;-54.333.198.964.548.700;2.059.056.139.031.910;-29.696.727.659.000.000;16.774.199.550.873.400
1;0;-0.887697335195446;31.919.865.910.756.700;0.0;5.353.990.486.223.140
1;0;-3.642.620.099.595.100;36.235.791.442.352.000;-2.349.631.199.393.410;12.869.224.838.444.600
1;0;-29.538.894.084.951.800;22.748.524.156.116.700;-17.622.233.995.450.500;8.985.301.202.632.680
1;0;-30.457.201.673.085.000;22.209.033.464.667.300;-22.843.636.660.769.200;918.528.643.049.292
1;0;-2.311.074.096.801.930;2.005.107.069.886.970;-0.6526753331648376;6.932.821.232.488.160
1;0;-4.698.673.825.948.300;27.334.195.033.436.700;-4.111.854.598.938.470;15.216.419.881.225.200
1;0;-33.212.124.437.484.700;24.636.741.576.189.700;-18.274.909.328.615.400;10.206.263.646.410.900
1;0;-1.897.835.682.141.980;22.748.524.156.116.700;-11.421.818.330.384.600;6.406.544.317.066.490
1;0;-22.651.587.173.952.700;27.334.195.033.436.700;-0.4568727332153863;78.169.664.503.965.700
1;0;-2.586.566.373.241.890;33.808.083.330.829.600;-12.074.493.663.549.400;9.501.052.579.745.920
1;0;-23.569.894.762.085.900;17.893.107.933.072.000;-2.219.096.132.760.440;680.651.477.278.696
1;0;-27.243.125.114.618.800;26.794.704.341.987.300;-2.773.870.165.950.550;8.869.520.281.239.910
1;0;-29.538.894.084.951.800;22.209.033.464.667.300;-1.925.392.232.836.260;890.109.689.616.522
1;0;-27.243.125.114.618.800;27.334.195.033.436.700;-2.773.870.165.950.550;897.477.566.432.425
1;0;-29.538.894.084.951.800;15.465.399.821.549.700;-17.295.896.328.868.100;8.006.426.139.948.370
1;0;-2.586.566.373.241.890;24.366.996.230.464.900;-10.442.805.330.637.400;8.185.360.291.191.740
1;0;-2.311.074.096.801.930;29.222.412.453.509.600;-20.232.935.328.109.900;8.259.039.059.350.770
1;0;-203.558.182.036.197;3.218.961.125.648.140;-1.892.758.466.178.020;7.911.696.295.172.470
1;0;-0.9795280940087705;25.176.232.267.639.100;-0.06526753331648556;47.119.326.494.087.000
1;0;-27.243.125.114.618.800;27.334.195.033.436.700;-12.400.831.330.131.900;8.953.724.587.707.380
1;0;-2.586.566.373.241.890;17.893.107.933.072.000;-0.9790129997472563;7.343.317.226.517.060
1;0;-32.752.970.643.418.100;3.704.502.747.952.610;-1.925.392.232.836.260;11.858.773.160.835.000
1;0;-33.212.124.437.484.700;19.511.580.007.420.300;-18.274.909.328.615.400;9.480.001.503.129.050
1;0;-2.678.397.132.055.220;22.748.524.156.116.700;-2.675.968.865.975.830;8.248.513.521.042.340
1;0;-5.341.489.137.641.550;27.334.195.033.436.700;-3.818.150.699.014.290;17.710.972.460.324.000
1;0;-29.538.894.084.951.800;16.274.635.858.723.800;-1.860.124.699.519.780;8.122.207.061.341.140
1;0;-299.980.478.790.185;31.380.375.219.307.300;-17.948.571.662.033.000;10.269.416.876.261.500
1;0;-36.885.354.790.017.600;24.636.741.576.189.700;-25.780.675.660.011.000;11.269.343.015.562.700
1;0;-4.331.350.790.695.010;16.274.635.858.723.800;-2.414.898.732.709.890;12.111.386.080.237.400
1;0;-3.367.127.823.155.130;25.715.722.959.088.500;-25.454.337.993.428.600;105.009.787.190.471
1;0;-36.885.354.790.017.600;25.176.232.267.639.100;-156.642.079.959.561;11.353.547.322.030.200
1;0;-5.800.642.931.708.160;22.478.778.810.392.000;-3.818.150.699.014.290;1.867.932.198.469.980
1;0;-4.009.943.134.848.380;25.176.232.267.639.100;-34.265.454.991.153.900;12.416.626.691.181.900
1;0;-2.311.074.096.801.930;11.419.219.635.679.100;-0.7179428664813231;5.796.063.095.177.350
1;0;-33.212.124.437.484.700;2.328.801.484.756.610;-25.454.337.993.428.600;10.069.431.648.401.300
1;0;-6.076.135.208.148.130;27.334.195.033.436.700;-36.876.156.323.813.300;20.984.414.874.246.800
1;0;-75.454.273.491.612.700;28.952.667.107.784.900;-4.992.966.298.711.000;2.940.484.552.099.350
1;0;-32.752.970.643.418.100;20.320.816.044.594.400;-1.925.392.232.836.260;9.469.475.964.820.620
1;0;-2.678.397.132.055.220;-10.969.644.059.471.300;-31.654.753.658.494.600;3.680.429.895.182.220
1;0;-29.538.894.084.951.800;-27.154.364.802.953.600;-2.480.166.266.026.380;20.384.459.190.666.100
1;0;-33.212.124.437.484.700;-22.029.203.234.184.300;-12.727.168.996.714.300;3.543.597.897.172.590
1;0;-2.081.497.199.768.630;-3.578.621.586.614.420;-22.843.636.660.769.200;-0.8876537306778877
1;0;-4.652.758.446.541.640;-24.187.165.999.981.900;-28.391.376.992.670.400;6.722.310.466.319.490
1;0;-5.616.981.414.081.520;-30.930.799.643.099.500;-39.486.857.656.472.600;852.217.751.706.161
1;0;-2.678.397.132.055.220;-3.578.621.586.614.420;-21.211.948.327.857.200;0.22805333001605624
1;0;-16.682.587.851.086.800;-441.483.215.836.101;-0.3263376665824188;-26.664.697.048.031.400
1;0;-6.718.950.519.841.380;-5.278.017.264.680.060;-5.058.233.832.027.480;8.374.819.980.743.540
1;0;-4.331.350.790.695.010;-21.219.967.197.010.100;-4.275.023.432.229.680;62.697.123.190.568.500
1;0;-4.974.166.102.388.260;-17.713.277.702.588.900;-4.438.192.265.520.890;869.058.612.999.655
1;0;-4.331.350.790.695.010;-14.746.078.899.617.200;-1.892.758.466.178.020;7.322.266.149.900.200
1;0;-4.009.943.134.848.380;-4.172.061.347.208.770;-29.044.052.325.835.200;22.910.588.384.690.100
1;0;-66.271.197.610.280.600;-14.746.078.899.617.200;-39.813.195.323.055.000;15.479.558.338.936.100
1;0;-0.933612714602107;-3.120.054.498.882.420;-1.860.124.699.519.780;-223.492.263.415.737
1;0;-27.243.125.114.618.800;27.334.195.033.436.700;-2.773.870.165.950.550;897.477.566.432.425
1;0;-29.538.894.084.951.800;15.465.399.821.549.700;-17.295.896.328.868.100;8.006.426.139.948.370
1;0;-2.586.566.373.241.890;24.366.996.230.464.900;-10.442.805.330.637.400;8.185.360.291.191.740
1;0;-2.311.074.096.801.930;29.222.412.453.509.600;-20.232.935.328.109.900;8.259.039.059.350.770
1;0;-203.558.182.036.197;3.218.961.125.648.140;-1.892.758.466.178.020;7.911.696.295.172.470
1;0;-0.9795280940087705;25.176.232.267.639.100;-0.06526753331648556;47.119.326.494.087.000
1;0;-27.243.125.114.618.800;27.334.195.033.436.700;-12.400.831.330.131.900;8.953.724.587.707.380
1;0;-2.586.566.373.241.890;17.893.107.933.072.000;-0.9790129997472563;7.343.317.226.517.060
1;0;-32.752.970.643.418.100;3.704.502.747.952.610;-1.925.392.232.836.260;11.858.773.160.835.000
1;0;-33.212.124.437.484.700;19.511.580.007.420.300;-18.274.909.328.615.400;9.480.001.503.129.050
1;0;-2.678.397.132.055.220;22.748.524.156.116.700;-2.675.968.865.975.830;8.248.513.521.042.340
1;0;-5.341.489.137.641.550;27.334.195.033.436.700;-3.818.150.699.014.290;17.710.972.460.324.000
1;0;-29.538.894.084.951.800;16.274.635.858.723.800;-1.860.124.699.519.780;8.122.207.061.341.140
1;0;-299.980.478.790.185;31.380.375.219.307.300;-17.948.571.662.033.000;10.269.416.876.261.500
1;0;-36.885.354.790.017.600;24.636.741.576.189.700;-25.780.675.660.011.000;11.269.343.015.562.700
1;0;-4.331.350.790.695.010;16.274.635.858.723.800;-2.414.898.732.709.890;12.111.386.080.237.400
1;0;-3.367.127.823.155.130;25.715.722.959.088.500;-25.454.337.993.428.600;105.009.787.190.471
1;0;-36.885.354.790.017.600;25.176.232.267.639.100;-156.642.079.959.561;11.353.547.322.030.200
1;0;-5.800.642.931.708.160;22.478.778.810.392.000;-3.818.150.699.014.290;1.867.932.198.469.980
1;0;-4.009.943.134.848.380;25.176.232.267.639.100;-34.265.454.991.153.900;12.416.626.691.181.900
1;0;-2.311.074.096.801.930;11.419.219.635.679.100;-0.7179428664813231;5.796.063.095.177.350
1;0;-33.212.124.437.484.700;2.328.801.484.756.610;-25.454.337.993.428.600;10.069.431.648.401.300
1;0;-6.076.135.208.148.130;27.334.195.033.436.700;-36.876.156.323.813.300;20.984.414.874.246.800
1;0;-75.454.273.491.612.700;28.952.667.107.784.900;-4.992.966.298.711.000;2.940.484.552.099.350
1;0;-32.752.970.643.418.100;20.320.816.044.594.400;-1.925.392.232.836.260;9.469.475.964.820.620
1;0;-2.678.397.132.055.220;-10.969.644.059.471.300;-31.654.753.658.494.600;3.680.429.895.182.220
1;0;-29.538.894.084.951.800;-27.154.364.802.953.600;-2.480.166.266.026.380;20.384.459.190.666.100
1;0;-33.212.124.437.484.700;-22.029.203.234.184.300;-12.727.168.996.714.300;3.543.597.897.172.590
1;0;-2.081.497.199.768.630;-3.578.621.586.614.420;-22.843.636.660.769.200;-0.8876537306778877
1;0;-4.652.758.446.541.640;-24.187.165.999.981.900;-28.391.376.992.670.400;6.722.310.466.319.490
1;0;-5.616.981.414.081.520;-30.930.799.643.099.500;-39.486.857.656.472.600;852.217.751.706.161
1;0;-2.678.397.132.055.220;-3.578.621.586.614.420;-21.211.948.327.857.200;0.22805333001605624
1;0;-16.682.587.851.086.800;-441.483.215.836.101;-0.3263376665824188;-26.664.697.048.031.400
1;0;-6.718.950.519.841.380;-5.278.017.264.680.060;-5.058.233.832.027.480;8.374.819.980.743.540
1;0;-4.331.350.790.695.010;-21.219.967.197.010.100;-4.275.023.432.229.680;62.697.123.190.568.500
1;0;-4.974.166.102.388.260;-17.713.277.702.588.900;-4.438.192.265.520.890;869.058.612.999.655
1;0;-39.640.277.554.417.200;17.893.107.933.072.000;-31.328.415.991.912.100;11.143.036.555.861.500
1;0;-18.519.203.027.353.200;17.353.617.241.622.600;0.03263376665824188;5.553.975.714.083.380
1;0;-5.800.642.931.708.160;0.6024312721185048;-38.834.182.323.307.700;15.732.171.258.338.500
1;0;-1.943.751.061.548.640;0.8721766178432102;-1.337.984.432.987.910;4.690.881.572.791.840
1;0;-5.479.235.275.861.530;15.465.399.821.549.700;-31.654.753.658.494.600;1.609.003.956.082.520
1;0;-5.341.489.137.641.550;2.652.495.899.626.260;-3.818.150.699.014.290;17.563.614.924.005.900
1;0;-26.324.817.526.485.600;34.347.574.022.279.000;-10.442.805.330.637.400;9.658.935.654.372.420
1;0;-2.311.074.096.801.930;2.409.725.088.474.030;-20.232.935.328.109.900;7.553.827.992.685.730
1;0;-3.642.620.099.595.100;31.380.375.219.307.300;-26.107.013.326.593.400;12.142.962.695.162.700
1;0;-16.682.587.851.086.800;31.919.865.910.756.700;-1.109.548.066.380.220;6.985.448.924.030.330
1;0;-29.538.894.084.951.800;27.334.195.033.436.700;-1.925.392.232.836.260;9.627.359.039.447.120
1;0;-7.315.850.452.127.970;39.742.480.936.773.100;-39.813.195.323.055.000;30.141.633.202.583.900
1;0;-39.640.277.554.417.200;17.893.107.933.072.000;-31.328.415.991.912.100;11.143.036.555.861.500
1;0;-18.519.203.027.353.200;17.353.617.241.622.600;0.03263376665824188;5.553.975.714.083.380
1;0;-5.800.642.931.708.160;0.6024312721185048;-38.834.182.323.307.700;15.732.171.258.338.500
1;0;-1.943.751.061.548.640;0.8721766178432102;-1.337.984.432.987.910;4.690.881.572.791.840
1;0;-5.479.235.275.861.530;15.465.399.821.549.700;-31.654.753.658.494.600;1.609.003.956.082.520
1;0;-5.341.489.137.641.550;2.652.495.899.626.260;-3.818.150.699.014.290;17.563.614.924.005.900
1;0;-26.324.817.526.485.600;34.347.574.022.279.000;-10.442.805.330.637.400;9.658.935.654.372.420
1;0;-2.311.074.096.801.930;2.409.725.088.474.030;-20.232.935.328.109.900;7.553.827.992.685.730
1;0;-3.642.620.099.595.100;31.380.375.219.307.300;-26.107.013.326.593.400;12.142.962.695.162.700
1;0;-16.682.587.851.086.800;31.919.865.910.756.700;-1.109.548.066.380.220;6.985.448.924.030.330
1;0;-29.538.894.084.951.800;27.334.195.033.436.700;-1.925.392.232.836.260;9.627.359.039.447.120
1;0;-7.315.850.452.127.970;39.742.480.936.773.100;-39.813.195.323.055.000;30.141.633.202.583.900
1;0;-2.311.074.096.801.930;2.409.725.088.474.030;-20.232.935.328.109.900;7.553.827.992.685.730
1;0;-3.642.620.099.595.100;31.380.375.219.307.300;-26.107.013.326.593.400;12.142.962.695.162.700
1;0;-16.682.587.851.086.800;31.919.865.910.756.700;-1.109.548.066.380.220;6.985.448.924.030.330
1;0;-29.538.894.084.951.800;27.334.195.033.436.700;-1.925.392.232.836.260;9.627.359.039.447.120
1;0;-7.315.850.452.127.970;39.742.480.936.773.100;-39.813.195.323.055.000;30.141.633.202.583.900
1;1;-36.885.354.790.017.600;8.559.918.970.997.300;-29.044.052.325.835.200;20.321.305.960.815.500
1;1;10.866.639.792.909.700;9.423.104.077.316.360;1.664.322.099.570.330;8.311.666.750.892.940
1;1;-16.682.587.851.086.800;10.583.009.063.932.500;-1.109.548.066.380.220;16.332.126.941.919.200
1;1;-9.795.280.940.087.660;9.423.104.077.316.360;-57.761.766.985.088.000;692.861.101.716.479
1;1;-12.550.203.704.487.300;1.028.628.918.363.540;-0.4568727332153863;14.784.872.810.579.500
1;1;-0.33671278231551455;8.748.740.713.004.600;-0.5547740331901138;10.648.336.255.365.100
1;1;-0.7958665763821241;8.344.122.694.417.540;-1.109.548.066.380.220;11.237.766.400.637.400
1;1;-8.509.650.316.701.150;5.107.178.545.721.080;-39.160.519.989.890.200;42.256.527.795.590.800
1;1;-6.259.796.725.774.770;135.771.824.014.768;-3.002.306.532.558.250;19.226.649.976.738.400
1;1;-13.927.665.086.687.100;6.186.159.928.619.900;-0.9137454664307744;10.132.584.878.251.900
1;1;-13.009.357.498.553.900;69.414.468.966.490.700;-1.925.392.232.836.260;10.827.270.406.608.500
1;1;0.3979332881910582;5.565.745.633.453.080;0.4895064998736264;5.480.296.945.924.340
1;1;-0.29079740290885614;6.213.134.463.192.370;-0.7179428664813231;7.638.032.299.153.200
1;1;-33.212.124.437.484.700;629.405.806.690.978;-34.265.454.991.153.900;15.816.375.564.805.900
1;1;-0.9795280940087705;5.592.720.168.025.550;-14.032.519.663.044.000;8.416.922.133.977.270
1;1;-8.188.242.660.854.530;6.024.312.721.185.080;-4.177.122.132.254.950;41.561.842.267.234.200
1;1;-0.24488202350219518;4.810.458.665.423.900;-0.03263376665824369;5.869.741.863.336.380
1;1;-23.569.894.762.085.900;6.590.777.947.206.950;-14.358.857.329.626.400;13.163.939.911.080.700
1;1;-0.6122050587554803;8.074.377.348.692.840;-0.39160519989890435;10.437.825.489.196.400
1;1;-10.713.588.528.220.800;9.881.671.165.048.360;0.0;13.763.895.594.661.400
1;1;-5.754.727.552.301.500;974.679.849.218.601;-2.349.631.199.393.410;31.794.142.717.007.900
1;1;-0.3826281617221755;9.962.594.768.765.770;-0.5547740331901138;12.185.064.848.396.400
1;1;-15.305.126.468.886.900;974.679.849.218.601;0.6200415665065939;14.911.179.270.280.700
1;1;-29.079.740.290.885.200;9.692.849.423.041.060;-15.011.532.662.791.200;1.919.507.336.181.310
1;1;-4.009.943.134.848.380;7.507.912.122.670.950;-28.065.039.326.087.900;20.047.641.964.796.200
1;1;-1.897.835.682.141.980;6.968.421.431.221.540;-16.969.558.662.285.700;12.416.626.691.181.900
1;1;-1.897.835.682.141.980;7.319.090.380.663.660;-14.685.194.996.208.800;12.837.648.223.519.300
1;1;-29.538.894.084.951.800;6.779.599.689.214.250;-0.8484779331142889;15.269.047.572.767.400
1;1;-76.831.734.873.812.600;629.405.806.690.978;-44.708.260.321.791.300;37.898.954.935.899.300
1;1;-2.586.566.373.241.890;6.267.083.532.337.310;-0.9137454664307744;13.395.501.753.866.200
